"words","class","group","rooms","comments"
"begin | start | להתחיל | התחל","INDICATIVE_VERB","413","",""
"say | לומר | תגיד | להגיד","INDICATIVE_VERB","414","",""
"says | אומר | אומרת","INDICATIVE_VERB","415","",""
"said | אמר | אמרה | נאמר","INDICATIVE_VERB","416","",""
"have | יש | לקיים","INDICATIVE_VERB","417","",""
"has","INDICATIVE_VERB","418","",""
"had","INDICATIVE_VERB","419","",""
"tell | לספר | אמור","INDICATIVE_VERB","420","",""
"use | להשתמש | שימוש | לנצל | מרח | למרוח","INDICATIVE_VERB","421","",""
"white | לבן | צחור | בהיר","ADJECTIVE","500","",""
"black | שחור | כהה","ADJECTIVE","501","",""
"yellow | צהוב | בהיריון","ADJECTIVE","502","",""
"magenta | purple | violet | מגנטה | סגול | ארגמן","ADJECTIVE","503","",""
"blue | כחול | תכלת | שמימי","ADJECTIVE","504","",""
"brown | חום | שחמחם","ADJECTIVE","505","",""
"pink | ורוד | ורודה","ADJECTIVE","506","",""
"green | ירוק | ירקרק | ירוקה","NOUN","507","",""
"gray | grey | אפור | מאפיר","ADJECTIVE","508","",""
"abominable | מתועב | שנוא","ADJECTIVE","509","",""
"ancient | עתיק | קדום | נושן","ADJECTIVE","510","",""
"another | נוסף","ADJECTIVE","511","",""
"arcane | מיסתורי | סודי","ADJECTIVE","512","",""
"bad | רע | גרוע","ADJECTIVE","513","",""
"beautiful | יפהפה | נאה","ADJECTIVE","514","",""
"both | שניהם | שתיהן","ADJECTIVE","515","",""
"broad | רחב | מקיף | נרחב","ADJECTIVE","516","",""
"broken | שבור | מנותק | הרוס","ADJECTIVE","517","",""
"canned | משומר | מקופסא | מוקלט","ADJECTIVE","518","",""
"carved | מגולף | חרוט | מפוסל","ADJECTIVE","519","",""
"cold | קר | קריר | אדיש","ADJECTIVE","520","",""
"crew | צוות | חבורה | קבוצה","ADJECTIVE","521","",""
"crude | גס | גולמי","ADJECTIVE","522","",""
"crumpled | מקומט | מכווץ","ADJECTIVE","523","",""
"dangerous | מסוכן | מפחיד","ADJECTIVE","524","",""
"decorated | מעוטר | מקושט","ADJECTIVE","525","",""
"early | מוקדם | ראשוני | בתחילת","ADJECTIVE","526","",""
"even | אפילו | שווה","ADJECTIVE","527","",""
"evil | רשע | מרושע | רוע","ADJECTIVE","528","",""
"exquisite | מעודן | נהדר | מופלא","ADJECTIVE","529","",""
"filthy | מלוכלך | מזוהם | מטונף","ADJECTIVE","530","",""
"fine | בסדר | משובח","ADJECTIVE","531","",""
"first | ראשון | התחלתי | בראשית","ADJECTIVE | IMPERATIVE_VERB","532","",""
"floating | flying | צף | מרחף | טס | מעופף","ADJECTIVE","533","",""
"forsaken | נטוש | עזוב | נשכח","ADJECTIVE","534","",""
"frail | שברירי | חלש | עדין","ADJECTIVE","535","",""
"freshly | טרי | טריות | לאחרונה","ADJECTIVE","536","",""
"golden | זהוב | מוזהב | נפלא","ADJECTIVE","537","",""
"good | טוב | טובה | תקין","ADJECTIVE","538","",""
"grandmotherly | סבתאית | אימהית","ADJECTIVE","539","",""
"hard | קשה | מוצק | עמל","ADJECTIVE","540","",""
"his | שלו | שלוש","ADJECTIVE","541","",""
"hooded | מצונף","ADJECTIVE","542","",""
"honorable | מכובד | נכבד | ישר","ADJECTIVE","543","",""
"humble | צנוע | עניו | פשוט","ADJECTIVE","544","",""
"important | חשוב","ADJECTIVE","545","",""
"intoxicated | מסומם | מורעל","ADJECTIVE","546","",""
"its | שלה","ADJECTIVE","547","",""
"living | חי | גר | מתגורר","ADJECTIVE","548","",""
"local | מקומי | אזורי","ADJECTIVE","549","",""
"long | ארוך | ממושך","ADJECTIVE","550","",""
"lost | אבוד | אבודה | איבד","ADJECTIVE","551","",""
"low | נמוך | מדוכא","ADJECTIVE","552","",""
"magical | קסומה | פלאי","ADJECTIVE","553","",""
"main | ראשי | עיקרי | מרכזי","ADJECTIVE","554","",""
"makeshift | מאולתר | ארעי | זמני","ADJECTIVE","555","",""
"marked | מסומן | בולט | מצוין","ADJECTIVE","556","",""
"my | שלי","ADJECTIVE","557","",""
"nasty | מגעיל | דוחה","ADJECTIVE","558","",""
"neat | מסודר | מהודר","ADJECTIVE","559","",""
"new | חדש | חדשה","ADJECTIVE","560","",""
"newborn | יילוד","ADJECTIVE","561","",""
"next | הבא | צמוד","ADJECTIVE | IMPERATIVE_VERB","562","",""
"nice | נחמד | נחמדה | יפה","ADJECTIVE","563","",""
"oak | אלון | חזק","ADJECTIVE","564","",""
"odd | משונה","ADJECTIVE | NOUN","565","",""
"old | ישן","ADJECTIVE","566","",""
"other | אחר | שונה","ADJECTIVE","567","",""
"our | שלנו","ADJECTIVE","568","",""
"penniless | דל","ADJECTIVE","569","",""
"personal | אישי | עצמי","ADJECTIVE","570","",""
"pickled | כבוש | חמוץ","ADJECTIVE","571","",""
"private | פרטי | חשאי","ADJECTIVE","572","",""
"rare | נדיר","ADJECTIVE","573","",""
"rarest | ייחודי","ADJECTIVE","574","",""
"real | אמיתי | ממשי | מציאותי","ADJECTIVE","575","",""
"rich | עשיר | עתיר | שופע","ADJECTIVE","576","",""
"rocking | מטלטל | מתנדנד","ADJECTIVE","577","",""
"serial | סדרתי | סידורי | עוקב","ADJECTIVE","578","",""
"shining | מבריק | נוצץ","ADJECTIVE","579","",""
"shopping | קניות | קונה","ADJECTIVE","580","",""
"sick | חולה | בחילה | חולני","ADJECTIVE","581","",""
"single | יחיד | רווק | בודד","ADJECTIVE","582","",""
"sober | פיכח | מתון | צלול","ADJECTIVE","583","",""
"some | כמה | אחדים","ADJECTIVE","584","",""
"southern | דרומי | מהדרום","ADJECTIVE","585","",""
"special | מיוחד | מיוחדת | ספציפי","ADJECTIVE","586","",""
"standard | סטנדרטי | תקני","ADJECTIVE","587","",""
"sticky | דביק | דביקה | דביקי","ADJECTIVE","588","",""
"stolen | גנוב | גנובה | גנובים","ADJECTIVE","589","",""
"strangely","ADJECTIVE","590","",""
"substantial | משמעותי | ניכר | מהותי","ADJECTIVE","591","",""
"sweet | מתוק | מתוקה | נעים","ADJECTIVE","592","",""
"tall | גבוה | גבוהה","ADJECTIVE","593","",""
"their | שלהם | שלהן","ADJECTIVE","594","",""
"threadbare | בלוי | מרופט","ADJECTIVE","595","",""
"tough | קשוח | עמיד","ADJECTIVE","596","",""
"typical | טיפוסי | אופייני","ADJECTIVE","597","",""
"uniformed | במדים","ADJECTIVE","598","",""
"unmarked","ADJECTIVE","599","",""
"urgent | דחוף | בוהל | לחוץ","ADJECTIVE","600","",""
"vile | נתעב | שפל","ADJECTIVE","601","",""
"vital | חיוני | נחוץ | חיונית","ADJECTIVE","602","",""
"worn | שחוק","ADJECTIVE","603","",""
"weird | מוזר | הזוי","ADJECTIVE","604","",""
"wet | רטוב | לח | לחלוחית","ADJECTIVE","605","",""
"wrought | מחושל | מעוצב | נוצר","ADJECTIVE","606","",""
"young | צעיר | צעירה | רענן","ADJECTIVE","607","",""
"your | שלך | שלכם | שלכן","ADJECTIVE","608","",""
"big | huge | large | גדול | עצום","ADJECTIVE","609","",""
"dead | deceased | מת | נפטר","ADJECTIVE","610","",""
"all | every | כל | כולל | כולו","ADJECTIVE","611","",""
"famished | hungry | ravenous | starved | starving | מורעב | חרב","ADJECTIVE","612","",""
"fat | plump | שמן | שמנה | עבה","ADJECTIVE","613","",""
"preceding | previous | קודם | קודמת | לפני","ADJECTIVE | IMPERATIVE_VERB","614","",""
"little | small | מעט","ADJECTIVE","615","",""
"extra | spare | רזרבי | מיותר","ADJECTIVE","616","",""
"phosphorescent | זרחני","ADJECTIVE","617","",""
"left | שמאל | שמאלי","ADJECTIVE","618","",""
"right | ימין | נכון | צודק","ADJECTIVE","619","",""
"picket | משמר | משמרת | חרם","ADJECTIVE","620","",""
"glowing | זוהר | קורן | בוהק | זוהרת","ADJECTIVE","621","",""
"red | אדום | אדומה | סמוק","ADJECTIVE","622","",""
"colorful | צבעוני | צבעונית","ADJECTIVE","623","",""
"fragrant | ריחני | מבושם | ארומטי","ADJECTIVE","624","",""
"birdlike | ציפורי","ADJECTIVE","625","",""
"frost | כפור | קור","ADJECTIVE","626","",""
"bald | קירח","ADJECTIVE","627","",""
"archery","ADJECTIVE","628","",""
"last | אחרון | אחרונה | נמשך","ADJECTIVE | IMPERATIVE_VERB","629","",""
"happy | שמח | מאושר | שמחה","ADJECTIVE","630","",""
"mephitic | מסריח | מצחין | רעיל","ADJECTIVE","631","",""
"hollow | חלול | חלולה","ADJECTIVE","632","",""
"maltese | מלטזי | ממלטה","ADJECTIVE","633","",""
"aim | לכוון | כיוון","IMPERATIVE_VERB","1000","",""
"appear | להופיע | נראה | יופיע","IMPERATIVE_VERB","1001","",""
"apply | ליישם","IMPERATIVE_VERB","1002","",""
"beg | להתחנן | תחנונים","IMPERATIVE_VERB","1003","",""
"bite | לנשוך | נשיכה | נשך","IMPERATIVE_VERB","1004","",""
"breathe | לנשום | נושם","IMPERATIVE_VERB","1005","",""
"burn | לשרוף | שריפה","IMPERATIVE_VERB","1006","",""
"call | שיחה | להתקשר","IMPERATIVE_VERB","1007","",""
"carve | לגלף | לחרוט | לחקוק","IMPERATIVE_VERB","1008","",""
"cast | להטיל | ללהק | יצוק | הטל | להפעיל | הפעל","IMPERATIVE_VERB","1009","",""
"change | לשנות | שינוי | להחליף","IMPERATIVE_VERB","1010","",""
"climb | scale | לטפס | טפס | לרדת | רד | רדי","IMPERATIVE_VERB","1011","",""
"come | לבוא | בוא | יבוא","IMPERATIVE_VERB","1012","",""
"continue | להמשיך | המשך | ימשיך","IMPERATIVE_VERB","1013","",""
"control | לשלוט | שליטה | לפקח","IMPERATIVE_VERB","1014","",""
"crawl | לזחול | זחילה | יזחל","IMPERATIVE_VERB","1015","",""
"cross | לחצות | צלב | לעבור","IMPERATIVE_VERB","1016","",""
"damn | ארור | לקלל","IMPERATIVE_VERB","1017","",""
"dash","IMPERATIVE_VERB","1018","",""
"decorate | לקשט | לעטר | מקשט","IMPERATIVE_VERB","1019","",""
"describe | לתאר | תאר | יתאר","IMPERATIVE_VERB","1020","",""
"die | למות | תמות","IMPERATIVE_VERB","1021","",""
"dig | לחפור | חפור | יחפור","IMPERATIVE_VERB","1022","",""
"disarm | לנטרל | לפרוק","IMPERATIVE_VERB","1023","",""
"draw | לצייר | שרטוט","IMPERATIVE_VERB","1024","",""
"enter | להיכנס | היכנס | יכנס","IMPERATIVE_VERB","1025","",""
"erase | למחוק | מחיקה | ימחק","IMPERATIVE_VERB","1026","",""
"fasten | להדק | לקשור","IMPERATIVE_VERB","1027","",""
"feed | להאכיל | האכלה | הזנה","IMPERATIVE_VERB","1028","",""
"feel | להרגיש | הרגשה | יחוש","IMPERATIVE_VERB","1029","",""
"fetch | הבאה | משיכה","NOUN | IMPERATIVE_VERB","1030","",""
"flip | להפוך | לדפדף | קפיצה","IMPERATIVE_VERB","1031","",""
"flush | להדיח | סומק","IMPERATIVE_VERB","1032","",""
"fly | לטוס | זבוב | לעוף","NOUN | IMPERATIVE_VERB","1033","",""
"follow | לעקוב | עקוב","IMPERATIVE_VERB","1034","",""
"garbage | זבל | אשפה","IMPERATIVE_VERB","1035","",""
"grope | למשש | לגשש | מישוש","IMPERATIVE_VERB","1036","",""
"hang | לתלות | תלוי | תליה","IMPERATIVE_VERB","1037","",""
"hold | להחזיק","IMPERATIVE_VERB","1038","",""
"hurry | למהר","IMPERATIVE_VERB","1039","",""
"identify | לזהות | זיהוי | לאפיין","IMPERATIVE_VERB","1040","",""
"fill | insert | למלא | להכניס | הכנסה","IMPERATIVE_VERB","1041","",""
"join | להצטרף","IMPERATIVE_VERB","1042","",""
"enlarge | increase | להגדיל | להגביר | להרחיב","IMPERATIVE_VERB","1043","",""
"keep | לשמור | לשמר","IMPERATIVE_VERB","1044","",""
"lie | לשקר | לשכב","IMPERATIVE_VERB","1045","",""
"like | כמו | חבב","IMPERATIVE_VERB","1046","",""
"listen | להקשיב | הקשב | להאזין","IMPERATIVE_VERB","1047","",""
"load | לטעון | עומס | טען","IMPERATIVE_VERB","1048","",""
"mend","IMPERATIVE_VERB","1049","",""
"move | לזוז | להזיז | תנועה","IMPERATIVE_VERB","1050","",""
"need | צריך | זקוק | צורך","IMPERATIVE_VERB","1051","",""
"offer | להציע | הצעה | להגיש","IMPERATIVE_VERB","1052","",""
"order | להזמין | פקודה | סדר | הזמן","IMPERATIVE_VERB","1053","",""
"pause | להשהות | הפסקה","IMPERATIVE_VERB","1054","",""
"pay | לשלם | תשלום | שכר","IMPERATIVE_VERB","1055","",""
"peddle","IMPERATIVE_VERB","1056","",""
"perform | לבצע","IMPERATIVE_VERB","1057","",""
"play | לשחק | לנגן | הצגה","IMPERATIVE_VERB","1060","",""
"pull | למשוך | לגרור | משוך","IMPERATIVE_VERB","1061","",""
"quit | לפרוש | לעזוב","IMPERATIVE_VERB","1062","",""
"read | לקרוא | קריאה | יקרא","IMPERATIVE_VERB","1063","",""
"recover | להתאושש | להשיב","IMPERATIVE_VERB","1064","",""
"refuel | לתדלק | תדלוק","IMPERATIVE_VERB","1065","",""
"remain | נשאר | שיור","IMPERATIVE_VERB","1066","",""
"rent | לשכור | השכרה","IMPERATIVE_VERB","1068","",""
"repeat | לחזור | לשנן","IMPERATIVE_VERB","1069","",""
"reset | לאפס | איפוס | לאתחל","IMPERATIVE_VERB","1070","",""
"restart","IMPERATIVE_VERB","1071","",""
"restore | לשחזר","IMPERATIVE_VERB","1072","",""
"circle | להקיף | עיגול | מעגל","IMPERATIVE_VERB","1073","",""
"rise | לעלות | עלייה | קום","IMPERATIVE_VERB","1074","",""
"rove | לשוטט | לנדוד | שוטטות","IMPERATIVE_VERB","1075","",""
"save | להציל | לחסוך","IMPERATIVE_VERB","1076","",""
"saw | מסור | לנסר","IMPERATIVE_VERB","1077","",""
"search | seek | לחפש | לבדוק | בדוק | חפש","IMPERATIVE_VERB","1078","",""
"seduce | לפתות | פיתוי | לפתה","IMPERATIVE_VERB","1079","",""
"see | לראות | ראה | יראה","IMPERATIVE_VERB","1080","",""
"sell | למכור | ימכור","IMPERATIVE_VERB","1081","",""
"set | להגדיר","IMPERATIVE_VERB","1082","",""
"sew | תפירה | לתפור","IMPERATIVE_VERB","1083","",""
"shake | לנער | לרעוד | רעד","IMPERATIVE_VERB","1084","",""
"shove | דחיפה","IMPERATIVE_VERB","1085","",""
"sing | לשיר | שירה | שר","IMPERATIVE_VERB","1086","",""
"slide | מגלשה","IMPERATIVE_VERB","1087","",""
"slip | להחליק | מעידה | טעות","IMPERATIVE_VERB","1088","",""
"snip | לגזור | גזירה","IMPERATIVE_VERB","1089","",""
"spit | לירוק | רוק | יריקה","IMPERATIVE_VERB","1090","",""
"grab | rob | snatch | steal | לשדוד | לחטוף | לגנוב","IMPERATIVE_VERB","1091","",""
"straighten | ליישר | להתיישר | יישור","IMPERATIVE_VERB","1092","",""
"swamp | להציף | מוצף","IMPERATIVE_VERB","1093","",""
"swim | לשחות | שחייה","IMPERATIVE_VERB","1094","",""
"swing | להתנדנד | נדנדה | לנדנד","IMPERATIVE_VERB","1095","",""
"tear | דמעה | קרע","IMPERATIVE_VERB","1096","",""
"transmit | לשדר | להעביר | שידור","IMPERATIVE_VERB","1098","",""
"turn | לפנות | סיבוב","IMPERATIVE_VERB","1099","",""
"uncover | לחשוף","IMPERATIVE_VERB","1100","",""
"undress | להתפשט | להתערטל","IMPERATIVE_VERB","1101","",""
"unlock","IMPERATIVE_VERB","1102","",""
"walk | ללכת | צעד | לצעוד","IMPERATIVE_VERB","1103","",""
"want | לרצות | חפץ","IMPERATIVE_VERB","1104","",""
"warn | להזהיר | אזהרה | התרעה","IMPERATIVE_VERB","1105","",""
"wear | ללבוש | שחיקה","IMPERATIVE_VERB","1106","",""
"whats","IMPERATIVE_VERB","1107","",""
"whisper | ללחוש | לחישה | מלמול","IMPERATIVE_VERB","1108","",""
"whistle | לשרוק | שריקה | משרוקית","IMPERATIVE_VERB","1109","",""
"wipe | לנגב | ניגוב","IMPERATIVE_VERB","1110","",""
"holler | shout | yell | לצעוק | צעקה","IMPERATIVE_VERB","1111","",""
"bet | wager | להמר | הימור","NOUN | IMPERATIVE_VERB","1112","",""
"blow | suck | לנשוף | למצוץ | מכה","IMPERATIVE_VERB","1113","",""
"break | smash | לשבור | שבירה","IMPERATIVE_VERB","1114","",""
"buy | purchase | לקנות | רכישה | קנייה | קנה","IMPERATIVE_VERB | NOUN","1115","",""
"capture | catch | subdue | ללכוד | לתפוס | להכניע","IMPERATIVE_VERB","1116","",""
"chase | pursue | לרדוף | מרדף","IMPERATIVE_VERB","1117","",""
"close | shut | לסגור | סגירה | סגור","IMPERATIVE_VERB","1118","",""
"attach | connect | לצרף | לחבר | חיבור","IMPERATIVE_VERB","1119","",""
"crap | defecate | dump | fart | manure | poop | shit | נפיחה | קקי | חרא","IMPERATIVE_VERB | NOUN","1120","",""
"eat | swallow | לאכול | לבלוע | אכילה | אכול","IMPERATIVE_VERB","1121","",""
"escape | retreat | לברוח | לסגת | בריחה","IMPERATIVE_VERB","1122","",""
"fight | להילחם | קרב | מריבה | לחימה | להלחם","IMPERATIVE_VERB","1123","",""
"attack | clash | לתקוף | תקיפה | התנגשות","NOUN | IMPERATIVE_VERB","1124","",""
"find | locate | למצוא | לאתר | איתור","IMPERATIVE_VERB","1125","",""
"fix | repair | תיקון | לתקן","IMPERATIVE_VERB","1126","",""
"boff | cocksuck | fuck | hump | motherfuck | screw | להתגסס","IMPERATIVE_VERB","1127","",""
"acquire | bring | get | obtain | remove | retrieve | take | לרכוש | לקבל | להשיג | להסיר | לקחת | קח | להרים | לקטוף | ללקט","IMPERATIVE_VERB","1128","",""
"gave | give | share | נתן | לתת | לשתף | תן","IMPERATIVE_VERB","1129","",""
"chop | cut | hack | puncture | rip | skewer | slash | slice | stab | לקצוץ | לחתוך | לנקב | לקרוע | לשפד | לשסע | לפרוס | לדקור","IMPERATIVE_VERB | NOUN","1130","",""
"conceal | hide | להסתיר | להחביא | הסתרה","IMPERATIVE_VERB","1131","",""
"beat | crush | hit | kick | punch | slap | squash | stomp | strike | trounce | להכות | לרסק | להלום | לבעוט | לסטור | למעוך | לרמוס | לשבות | להביס","IMPERATIVE_VERB","1132","",""
"kill | murder | רצח | להרוג","IMPERATIVE_VERB","1133","",""
"knock | rap | לדפוק | נקוש | הקש | דפוק | לנקוש","IMPERATIVE_VERB","1134","",""
"done | exit | leave | סיים | יציאה","IMPERATIVE_VERB | NOUN","1135","",""
"let | lets | לאפשר","IMPERATIVE_VERB","1136","",""
"lift | raise | להגביה | הרמה","NOUN | IMPERATIVE_VERB","1137","",""
"examine | gaze | inspect | look | observe |  להביט | לבחון | לבהות | להסתכל | להתבונן | הבט | הסתכל","IMPERATIVE_VERB","1138","",""
"made | make | עשה | עשוי | לעשות","IMPERATIVE_VERB","1139","",""
"pat | pet | stroke | ללטף | ליטוף","IMPERATIVE_VERB","1140","",""
"leak | pee | piss | urinate | לדלוף | להשתין","IMPERATIVE_VERB","1141","",""
"force | press | push | לכפות | ללחוץ | לדחוף","IMPERATIVE_VERB","1142","",""
"deposit | discard | drop | להפקיד | להפיל | להשליך | השלך","IMPERATIVE_VERB","1143","",""
"meditate | relax | למדוט | להירגע","IMPERATIVE_VERB","1144","",""
"replace | return | להחזיר | החזרה","IMPERATIVE_VERB","1145","",""
"ask | inquire | request | לשאול | לברר | לבקש | שאל","IMPERATIVE_VERB","1146","",""
"bathe | rinse | wash | לרחוץ | לשטוף","IMPERATIVE_VERB","1147","",""
"hop | jump | leap | skip | vault | לקפץ | לקפוץ | לנתר | לדלג | לזנק","IMPERATIVE_VERB","1148","",""
"send | sent | לשלוח | שלח | נשלח","IMPERATIVE_VERB","1149","",""
"display | show | להציג | להראות | תצוגה","IMPERATIVE_VERB","1150","",""
"drink | sip | לשתות | ללגום | משקאות | משקה","IMPERATIVE_VERB | NOUN","1151","",""
"sat | sit | ישב | לשבת | שיבה | שב","IMPERATIVE_VERB","1152","",""
"nap | sleep | snooze | תנומה | לישון | לנמנם","NOUN | IMPERATIVE_VERB","1153","",""
"chat | converse | interrupt | speak | talk | לשוחח | להפריע | לדבר","IMPERATIVE_VERB","1154","",""
"throw | toss | לזרוק | זרוק","IMPERATIVE_VERB","1155","",""
"bargain | barter | exchange | trade | להתמקח | לסחור | סחר","NOUN | IMPERATIVE_VERB","1156","",""
"unfasten | untie | להתיר","IMPERATIVE_VERB","1157","",""
"disappear | vanish | להיעלם | להתפוגג | נעלם","IMPERATIVE_VERB","1158","",""
"stay | wait | להישאר | לחכות | המתנה","IMPERATIVE_VERB","1159","",""
"awaken | wake | להעיר | להתעורר | התעוררות","IMPERATIVE_VERB","1160","",""
"aisle | walkway","IMPERATIVE_VERB","1161","",""
"chuckle | laugh | smile | wink | לצחוק | לחייך | לקרוץ","IMPERATIVE_VERB","1162","",""
"write | wrote | לכתוב | כתב | כתבתי","IMPERATIVE_VERB","1163","",""
"answer | תשובה | לענות | ענה","NOUN | IMPERATIVE_VERB","1164","",""
"bribe | לשחד | שוחד","NOUN | IMPERATIVE_VERB","1165","",""
"count | לספור | ספירה | מספר","NOUN | IMPERATIVE_VERB","1166","",""
"dream | חלום | לחלום | חלם","NOUN | IMPERATIVE_VERB","1167","",""
"help | עזרה | לעזור","NOUN | IMPERATIVE_VERB","1168","",""
"hug | חיבוק | לחבק | חבק","NOUN | IMPERATIVE_VERB","1169","",""
"kiss | נשיקה | לנשק","NOUN | IMPERATIVE_VERB","1170","",""
"chandelier | light | נברשת | אור","NOUN | IMPERATIVE_VERB","1171","",""
"hasp | lock | בריח | מנעול | לנעול","NOUN | IMPERATIVE_VERB","1172","",""
"open | פתוח | לפתוח | פתח | פתיחה","NOUN | IMPERATIVE_VERB","1173","",""
"pass | מעבר | דרכון","NOUN | IMPERATIVE_VERB","1174","",""
"patrol | לסייר | סיור","NOUN | IMPERATIVE_VERB","1175","",""
"pound | פאונד","NOUN | IMPERATIVE_VERB","1176","",""
"practice | אימון | תרגול | להתאמן","NOUN | IMPERATIVE_VERB","1177","",""
"train | רכבת | לאמן","NOUN | IMPERATIVE_VERB","1178","",""
"question | שאלה | חקירה","NOUN | IMPERATIVE_VERB","1179","",""
"register | להירשם","NOUN | IMPERATIVE_VERB","1180","",""
"report | דיווח | לדווח | דו"ח","NOUN | IMPERATIVE_VERB","1181","",""
